instnm,ZIP code,Cost of Attendance,Computer Science,Education,Chemical Engineering,Mechanical Engineering,Electrical and Computer Engineering,English Language and Literature,Biology,Mathematics and Statistics,Philosophy,Religion/Religious Studies,Psychology,Dance,Business/Commerce,History
Northeastern State University,74464-2399,18537,44,161,,,,27,16,10,,,121,,,10
Northern Arizona University,86011-4092,28150,65,573,,156,,62,435,30,12,,300,,,28
Northern Illinois University,60115-2828,28980,133,166,,123,,59,116,57,12,,181,,,38
Northwest Nazarene University,83686-5897,42990,13,21,,,,4,27,1,2,16,5,,,2
Northwestern College,51041,45900,3,42,,,,5,18,3,0,0,7,,,3
Northwestern Polytechnic University,94539,22080,6,,,,,,,,,,,,2,
Northwestern University,60208,78654,94,25,42,67,,31,77,83,16,1,136,5,0,25
Norwich University,05663-1035,60048,3,11,,29,,3,10,5,,,23,,,26
Notre Dame de Namur University,94002-1908,58564,7,,,,,6,19,,,,34,,,5
Nova Southeastern University,33314-7796,52967,8,21,,,,3,196,5,1,,75,2,2,3
Nyack College,10004,41615,3,17,,,,5,3,,,,25,,,2
Oakwood University,35896,37764,2,6,,,,4,41,9,,,12,,,3
Occidental College,90041-3392,76600,14,,,,,18,36,10,8,2,23,,,11
Ohio Dominican University,43219,46092,5,33,,,,1,13,2,2,,10,,,0
Ohio Northern University,45810-1599,49392,8,16,,41,,3,10,6,4,0,11,,,1
Ohio University-Main Campus,45701-2979,29980,47,344,43,70,,44,11,19,1,3,197,9,,57
Ohio Wesleyan University,43015-2370,63360,1,10,,,,16,10,2,1,1,21,1,,5
Oklahoma Baptist University,74804,43510,4,43,,,,4,9,5,3,4,35,,,5
Oklahoma Christian University,73013,38155,23,20,,25,,5,16,7,,,10,,7,2
Olivet Nazarene University,60914-2271,48770,3,57,,,,4,31,1,,3,22,,,6
Oregon State University,97331,27915,650,88,118,283,,48,232,66,15,3,264,,,63
Ouachita Baptist University,71998-0001,40200,2,26,,,,11,31,4,3,3,10,,,5
Pace University,10038-1598,68252,56,48,,,,31,41,3,,,52,31,28,16
Pacific University,97116,62157,4,58,,,,13,55,9,3,,24,0,,2
Palm Beach Atlantic University,33401,51066,12,19,,,,8,33,0,2,0,52,7,,8
Paul Quinn College,75241,19225,1,0,,,,0,1,0,,1,5,,,0
Philander Smith College,72202-3799,26105,1,7,,,,2,14,0,,,15,,,
Pitzer College,91711-6101,75850,9,,,,,4,6,12,1,1,28,0,,2
Plymouth State University,03264-1595,29430,19,100,,,,27,18,6,4,,53,,84,12
Point Loma Nazarene University,92106-2899,53290,8,57,,,,8,41,3,2,7,54,,,11
Pomona College,91711-6319,74480,34,,,,,9,7,28,4,5,15,0,,15
Portland State University,97201,26955,179,0,,115,,124,192,75,33,2,336,0,,52
Princeton University,08544-0070,74150,158,,26,52,,42,,37,33,8,40,,,73
Principia College,62028-9799,44150,4,14,,,,5,,0,3,2,,,,1
Providence College,02918-0001,69730,11,64,,,,33,79,13,10,,58,,,27
Purdue University Fort Wayne,46805-1499,22866,50,118,,18,,32,34,20,3,,61,,152,14
Purdue University Northwest,46323,23211,24,86,,62,,26,76,13,3,,56,,3,12
Purdue University-Main Campus,47907-2040,22882,460,253,161,376,,86,101,256,22,2,219,,,33
Quincy University,62301-2699,43100,6,20,,,,7,24,2,,,10,,,0
Radford University,24142,24445,46,146,,,,26,98,5,,,141,12,,29
Regent University,23464,30143,5,26,,,,40,,4,,0,83,,2,9
Regis University,80221-1099,55508,49,15,,,,16,29,7,7,0,33,,16,2
Rensselaer Polytechnic Institute,12180-3590,73816,255,,109,233,,,20,66,1,,6,,,
Rhode Island College,2908,24612,36,133,,,,53,19,3,1,,129,0,,28
Rhodes College,38112-1690,64573,25,13,,,,21,46,6,9,0,21,,,27
Rider University,08648-3099,63850,4,115,,,,22,19,4,1,,87,11,,13
Roanoke College,24153-3794,62943,1,10,,,,14,35,6,2,2,35,,,20
Rochester Institute of Technology,14623-5603,61474,185,,55,184,,,85,38,0,,35,,,
Rockford University,61108-2311,46254,14,39,,,,3,7,1,0,,13,2,,3
Rockhurst University,64110-2561,54515,4,13,,3,,16,35,2,4,2,40,,,2
Rocky Mountain College,59102-1796,42574,3,17,,,,3,23,1,,,11,,,6
Roger Williams University,02809-2921,56346,9,58,,28,,9,39,9,2,,72,8,,12
Roosevelt University,60605-1394,49699,28,39,,,,9,51,6,2,,99,,146,5
Rose-Hulman Institute of Technology,47803-3920,70401,72,,46,146,,,4,12,,,,,,
Rust College,38635,16700,8,19,,,,6,37,3,,,,,,
Saint Ambrose University,52803-2898,47438,15,30,,24,,10,27,3,0,,45,,0,7
Saint Anselm College,03102-1310,61550,9,32,,,,13,17,4,0,,32,,48,16
Saint Cloud State University,56301-4498,21356,49,191,,42,,22,69,18,8,,103,,14,12
Saint Edward's University,78704-6489,63940,35,31,,,,37,68,9,3,1,87,,,11
Saint Johns University,56321,59572,19,11,,,,5,29,5,2,,15,,,9
Saint Joseph's University,19131-1395,63630,13,54,,,,25,62,6,6,2,58,,,10
Saint Leo University,33574-6665,40844,34,78,,,,14,33,6,,28,245,,0,9
Saint Louis University,63103-2097,62868,18,31,,26,,22,69,7,16,0,65,,,6
Saint Martin's University,98503-7500,54560,12,7,,38,,9,27,6,,0,33,,,5
Saint Mary's University of Minnesota,55987-1399,49320,2,22,,,,5,13,0,4,5,8,0,0,3
